AKT-V-000001	Бал был очень многолюден.
AKT-V-000002	После шумного вальса Руневский отвёл свою даму на её место и стал прохаживаться по комнатам, посматривая на различные группы гостей.
AKT-V-000003	Ему бросился в глаза человек, по-видимому, ещё молодой, но бледный и почти совершенно седой.
AKT-V-000004	Он стоял, прислонясь к камину, и с таким вниманием смотрел в один угол залы, что не заметил, как пола его фрака дотронулась до огня и начала куриться.
AKT-V-000005	Руневский, возбуждённый странным видом незнакомца, воспользовался этим случаем, чтоб завести с ним разговор.
AKT-V-000006	— Вы, верно, кого-нибудь ищете,
AKT-V-000007	— сказал он,
AKT-V-000008	— а между тем ваше платье скоро начнёт гореть.
AKT-V-000009	Незнакомец оглянулся, отошёл от камина и, пристально посмотрев на Руневского, отвечал:
AKT-V-000010	— Нет, я никого не ищу;
AKT-V-000011	мне только странно, что на сегодняшнем бале я вижу упырей!
AKT-V-000012	— Упырей?
AKT-V-000013	— повторил Руневский,
AKT-V-000014	— как упырей?
AKT-V-000015	— Упырей,
AKT-V-000016	— отвечал очень хладнокровно незнакомец.
AKT-V-000017	— Вы их, Бог знает почему, называете вампирами, но я могу вас уверить, что им настоящее русское название:
AKT-V-000018	упырь;
AKT-V-000019	а так как они происхождения чисто славянского, хотя встречаются во всей Европе и даже в Азии, то и неосновательно придерживаться имени, исковерканного венгерскими монахами, которые вздумали было всё переворачивать на латинский лад и из упыря сделали вампира.
AKT-V-000020	Вампир, вампир!
AKT-V-000021	— повторил он с презрением,
AKT-V-000022	— это всё равно что если бы мы, русские, говорили вместо привидения
AKT-V-000023	— фантом или ревенант!
AKT-V-000024	— Но однако,
AKT-V-000025	— спросил Руневский,
AKT-V-000026	— каким бы образом попали сюда вампиры или упыри?
AKT-V-000027	Вместо ответа незнакомец протянул руку и указал на пожилую даму, которая разговаривала с другою дамою и приветливо поглядывала на молодую девушку, сидевшую возле неё.
AKT-V-000028	Разговор, очевидно, касался до девушки, ибо она время от времени улыбалась и слегка краснела.
AKT-V-000029	— Знаете ли вы эту старуху?
AKT-V-000030	— спросил он Руневского.
AKT-V-000031	— Это бригадирша Сугробина,
AKT-V-000032	— отвечал тот.
AKT-V-000033	— Я её лично не знаю, но мне говорили, что она очень богата и что у неё недалеко от Москвы есть прекрасная дача совсем не в бригадирском вкусе.
AKT-V-000034	— Да, она точно была Сугробина несколько лет тому назад, но теперь она не что иное, как самый гнусный упырь, который только ждёт случая, чтобы насытиться человеческою кровью.
AKT-V-000035	Смотрите, как она глядит на эту бедную девушку;
AKT-V-000036	это её родная внучка.
AKT-V-000037	Послушайте, что говорит старуха:
AKT-V-000038	она её расхваливает и уговаривает приехать недели на две к ней на дачу, на ту самую дачу, про которую вы говорите;
AKT-V-000039	но я вас уверяю, что не пройдёт трёх дней, как бедняжка умрёт.
AKT-V-000040	Доктора скажут, что это горячка или воспаление в лёгких;
AKT-V-000041	но вы им не верьте!
AKT-V-000042	Руневский слушал и не верил ушам своим.
AKT-V-000043	— Вы сомневаетесь?
AKT-V-000044	— продолжал тот.
AKT-V-000045	— Никто, однако, лучше меня не может доказать, что Сугробина упырь, ибо я был на её похоронах.
AKT-V-000046	Если бы меня тогда послушались, то ей бы вбили осиновый кол между плеч для предосторожности;
AKT-V-000047	ну, да что прикажете?
AKT-V-000048	Наследники были в отсутствии, а чужим какое дело?
AKT-V-000049	В эту минуту подошёл к старухе какой-то оригинал в коричневом фраке, в парике, с большим Владимирским крестом на шее и с знаком отличия за сорок пять лет беспорочной службы.
AKT-V-000050	Он держал обеими руками золотую табакерку и ещё издали протягивал её бригадирше.
AKT-V-000051	— И это упырь?
AKT-V-000052	— спросил Руневский.
AKT-V-000053	— Без сомнения,
AKT-V-000054	— отвечал незнакомец.
AKT-V-000055	— Это статский советник Теляев;
AKT-V-000056	он большой приятель Сугробиной и умер двумя неделями прежде её.
AKT-V-000057	Приблизившись к бригадирше, Теляев улыбнулся и шаркнул ногой.
AKT-V-000058	Старуха также улыбнулась и опустила пальцы в табакерку статского советника.
AKT-V-000059	— С донником, мой батюшка?
AKT-V-000060	— спросила она.
AKT-V-000061	— С донником, сударыня,
AKT-V-000062	— отвечал сладким голосом Теляев.
AKT-V-000063	— Слышите?
AKT-V-000064	— сказал незнакомец Руневскому.
AKT-V-000065	— Это слово в слово их ежедневный разговор, когда они ещё были живы.
AKT-V-000066	Теляев всякий раз, встречаясь с Сугробиной, подносил ей табакерку, из которой она брала щепотку, спросив наперёд, с донником ли табак?
AKT-V-000067	Тогда Теляев отвечал, что с донником, и садился возле неё.
AKT-V-000068	— Скажите мне,
AKT-V-000069	— спросил Руневский,
AKT-V-000070	— каким образом вы узнаете, кто упырь и кто нет?
AKT-V-000071	— Это совсем немудрено.
AKT-V-000072	Что касается до этих двух, то я не могу в них ошибаться, потому что знал их ещё прежде смерти, и (мимоходом буди сказано) немало удивился, встретив их между людьми, которым они довольно известны.
AKT-V-000073	Надобно признаться, что на это нужна удивительная дерзость.
AKT-V-000074	Но вы спрашиваете, каким образом узнавать упырей?
AKT-V-000075	Заметьте только, как они, встречаясь друг с другом, щёлкают языком.
AKT-V-000076	Это по-настоящему не щёлканье, а звук, похожий на тот, который производят губами, когда сосут апельсин.
AKT-V-000077	Это их условный знак, и так они друг друга узнают и приветствуют.
AKT-V-000078	Тут к Руневскому подошёл один щёголь и напомнил ему, что он его vis-a-vis.
AKT-V-000079	Все пары уже стояли на месте, и так как у Руневского ещё не было дамы, то он поспешил пригласить ту молодую девушку, которой незнакомец пророчил скорую смерть, ежели она согласится ехать к бабушке на дачу.
AKT-V-000080	Во время танца он имел случай рассмотреть её с примечанием.
AKT-V-000081	Она была лет семнадцати;
AKT-V-000082	черты лица её, уже сами по себе прекрасные, имели какое-то необыкновенно трогательное выражение.
AKT-V-000083	Можно было подумать, что тихая грусть составляет её постоянный характер;
AKT-V-000084	но когда Руневский, разговаривая с нею, касался смешной стороны какого-нибудь предмета, выражение это исчезало, а на место его появлялась самая весёлая улыбка.
AKT-V-000085	Все ответы её были остроумны, все замечания разительны и оригинальны.
AKT-V-000086	Она смеялась и шутила без всякого злословия и так чистосердечно, что даже те, которые служили целью её шуткам, не могли бы рассердиться, если б они их слышали.
AKT-V-000087	Видно было, что она не гоняется за мыслями и не изыскивает выражений, но что первые рождаются внезапно, а вторые приходят сами собою.
AKT-V-000088	Иногда она забывалась, и тогда опять облако грусти помрачало её чело.
AKT-V-000089	Переход от весёлого выраженья к печальному и от печального к весёлому составлял странную противоположность.
AKT-V-000090	Когда стройный и лёгкий стан её мелькал между танцующими, Руневскому казалось, что он видит не существо земное, но одно из тех воздушных созданий, которые, как уверяют поэты, в месячные ночи порхают по цветам, не сгибая их под своей тяжестью.
AKT-V-000091	Никогда никакая девушка не производила на Руневского такого сильного впечатления;
AKT-V-000092	он тотчас после танца попросил, чтоб его представили её матери.
AKT-V-000093	Вышло, что дама, разговаривавшая с Сугробиной, была не мать её, а какая-то тётка, которую звали Зориной и у которой она воспитывалась.
AKT-V-000094	Руневский узнал после, что девушка уже давно сирота.
AKT-V-000095	Сколько он мог заметить, тётка её не любила;
AKT-V-000096	бабушка её ласкала и называла своим сокровищем, но трудно было угадать, от чистого ли сердца происходили её ласки?
AKT-V-000097	Сверх этих двух родственниц у неё никого не было на свете.
AKT-V-000098	Одинокое положение бедной девушки ещё более возбудило участие Руневского, но, к сожалению его, он не мог продолжать с ней разговора.
AKT-V-000099	Толстая тётка, после нескольких пошлых вопросов, представила его своей дочери, жеманной барышне, которая тотчас им завладела.
AKT-V-000100	— Вы много смеялись с моей кузиной,
AKT-V-000101	— сказала она ему.
AKT-V-000102	— Кузина любит смеяться, когда бывает в духе.
AKT-V-000103	Я чаю, всем от неё досталось?
AKT-V-000104	— Мы мало говорили о присутствующих,
AKT-V-000105	— отвечал Руневский.
AKT-V-000106	— Разговор наш более касался французского театра.
AKT-V-000107	— Право?
AKT-V-000108	Но признайтесь, что наш театр не заслуживает даже, чтоб его бранили.
AKT-V-000109	Я всегда страх как скучаю, когда туда езжу, но я это делаю для кузины;
AKT-V-000110	маменька по-французски не понимает, и для неё равно, есть ли театр или нет, а бабушка и слышать про него не хочет.
AKT-V-000111	Вы ещё не знаете бабушки;
AKT-V-000112	это в полном смысле слова
AKT-V-000113	— бригадирша.
AKT-V-000114	Поверите ли, она сожалеет, что мы более не пудримся?
AKT-V-000115	Софья Карповна (так называли барышню), посмеявшись насчёт бабушки и желая ослепить Руневского своею колкостью, перешла и к прочим гостям.
AKT-V-000116	Более всех от неё доставалось одному маленькому офицеру с чёрными усами, который очень высоко прыгал, танцуя французскую кадриль.
AKT-V-000117	— Посмотрите, пожалуйста, на эту фигуру,
AKT-V-000118	— говорила она Руневскому.
AKT-V-000119	— Можно ли видеть что-нибудь смешнее её и можно ли для неё придумать фамилию приличнее той, которой она гордится:
AKT-V-000120	её зовут Фрышкин!
AKT-V-000121	Это самый несносный человек в Москве, и, что всего досаднее, он себя считает красавцем и думает, что все в него влюблены.
AKT-V-000122	Смотрите, смотрите, как его эполеты хлопают о плечи!
AKT-V-000123	Мне кажется, он скоро проломает паркет!
AKT-V-000124	Софья Карповна продолжала злословить всех и каждого, а Фрышкин между тем, приняв сердитый вид и закручивая усы, прыгал самым отчаянным образом.
AKT-V-000125	Руневский, глядя на него, не мог удержаться от смеха.
AKT-V-000126	Софья Карповна, ободрённая его весёлостью, удвоила своё злословие насчёт бедного Фрышкина.
AKT-V-000127	Наконец Руневскому удалось избавиться от докучливой собеседницы.
AKT-V-000128	Он подошёл к её толстой матери, попросил позволения её навещать и завёл разговор с бригадиршей.
AKT-V-000129	— Смотри ж, мой батюшка,
AKT-V-000130	— сказала ему ласково старуха,
AKT-V-000131	— к Зориной-то ходи, к Федосье Акимовне, да и меня, грешную, не забывай.
AKT-V-000132	Ведь не всё ж с молодёжью-то балагурить!
AKT-V-000133	В наше время не то было, что теперь:
AKT-V-000134	тогда молодые люди меньше франтили да больше слушали стариков;
AKT-V-000135	куцых-то фраков не носили, а не хуже вашего одевались.
AKT-V-000136	Ну, не в укор тебе сказать, а на что ты похож, мой батюшка, с своими хвостиками-то?
AKT-V-000137	Птица не птица, человек не человек!
AKT-V-000138	Да и обхождение-то было другое;
AKT-V-000139	учтивее люди были, нечего сказать!
AKT-V-000140	А офицеры-то не ломались на балах, вот как этот Фрышкин, а дрались-то не хуже ваших.
AKT-V-000141	Вот как покойный мой Игнатий Савельич, бывало, начнёт рассказывать, как они под турку-то ходили, так индо слушать страшно.
AKT-V-000142	Мы, говорит, стоим себе на Дунае, говорит, с графом Петром Александровичем, а на той стороне турка стоит;
AKT-V-000143	наших-то немного, да и все почти новички, а ихних-то тьма-тьмущая.
AKT-V-000144	Вот от матушки-государыни повеленье пришло к графу:
AKT-V-000145	перейди, дискать, через Дунай да разбей басурмана!
AKT-V-000146	Нечего делать, не хотелось графу, а послушался, перешёл через Дунай, с ним и мой Игнатий Савельич.
AKT-V-000147	В наше время не рассуждали, мой батюшка:
AKT-V-000148	куда велят идти, туда и шли.
AKT-V-000149	Вот стали осаждать крепость-то басурманскую, что зовут Силистрией, да силы не хватило;
AKT-V-000150	начал отступать граф Пётр Александрович, а они-то, некрести, и заслонили ему дорогу.
AKT-V-000151	Прищемили его между трёх армий;
AKT-V-000152	тут бы ему и живот кончить, да и моему Игнатию Савельичу с ним, если б немец-то, Вейсман, не выручил.
AKT-V-000153	Напал он на тех, что переправу-то стерегли, да и разбил в пух супостата, даром что немец.
AKT-V-000154	Тут же и Игнатий Савельич был, и ногу ему прострелили басурманы, а Вейсмана-то убили совсем.
AKT-V-000155	Что ж, мой батюшка?
AKT-V-000156	Граф-то переправился на свою сторону, да тотчас и начал готовиться опять к бою с некрестями!
AKT-V-000157	Не уступлю, дискать;
AKT-V-000158	знай наших!
AKT-V-000159	Вот каковы, мой батюшка, в старину люди-то были, не вашим чета, даром что куцых-то фраков не носили, не в укор тебе буди сказано!
AKT-V-000160	Старуха ещё много говорила про старину, про Игнатья Савельича и про Румянцева.
AKT-V-000161	— Вот приехал бы ты ко мне на дачу,
AKT-V-000162	— сказала она ему под конец,
AKT-V-000163	— я бы тебе показала портрет и графа Петра Александровича, и князя Григория Александровича, и моего Игнатья Савельича.
AKT-V-000164	Живу я не так, как живали прежде, не то теперь время;
AKT-V-000165	а гостям всегда рада.
AKT-V-000166	Кто меня вспомнит, тот и завернёт ко мне в Берёзовую Рощу, а мне-то оно и любо.
AKT-V-000167	Семён Семёнович,
AKT-V-000168	— прибавила она, указывая на Теляева,
AKT-V-000169	— меня также не забывает и через несколько дней обещался ко мне приехать.
AKT-V-000170	Вот и моя Дашенька у меня погостит;
AKT-V-000171	она доброе дитя и не оставит своей старой бабушки;
AKT-V-000172	не правда ли, Даша?
AKT-V-000173	Даша молча улыбнулась, а Семён Семёнович поклонился Руневскому и, вынув из кармана золотую табакерку, обтёр её рукавом и поднёс ему обеими руками, сделав притом шаг назад, вместо того чтоб сделать его вперёд.
AKT-V-000174	— Рад служить, рад служить, матушка Марфа Сергеевна,
AKT-V-000175	— сказал он сладким голосом бригадирше,
AKT-V-000176	— и даже… если бы… в случае… то есть…
AKT-V-000177	— Туг Семён Семёнович щёлкнул точно так, как описывал незнакомец, и Руневский невольно вздрогнул.
AKT-V-000178	Он вспомнил о странном человеке, с которым разговаривал в начале вечера, и, увидев его на том же месте, возле камина, обратился к Сугробиной и спросил её:
AKT-V-000179	не знает ли она, кто он?
AKT-V-000180	Старуха вынула из мешка очки, протёрла их платком, надела на нос и, поглядев на незнакомца, отвечала Руневскому:
AKT-V-000181	— Знаю, мой батюшка, знаю;
AKT-V-000182	это господин Рыбаренко.
AKT-V-000183	Он родом малороссиянин и из хорошей фамилии, только он, бедняжка, уж три года, как помешался в уме.
AKT-V-000184	А всё это от модного воспитания.
AKT-V-000185	Ведь кажется, ещё молоко на губах не обсохло, а надо было поехать в чужие краи!
AKT-V-000186	Пошатался там года с два, да и приехал с умом наизнанку.
AKT-V-000187	— Сказав это, она своротила разговор на кампании Игнатья Савельича.
AKT-V-000188	Вся тайна обращения г.
AKT-V-000189	Рыбаренки объяснилась теперь в глазах Руневского.
AKT-V-000190	Он был сумасшедший, бригадирша Сугробина добрая старушка, а Семён Семёнович Теляев не что иное, как оригинал, который щёлкал только потому, что заикался или что у него недоставало зубов.
AKT-V-000191	Прошло несколько дней после бала, и Руневский короче познакомился с тётушкой Даши.
AKT-V-000192	Сколько Даша ему нравилась, столько же он чувствовал отвращения к Федосье Акимовне Зориной.
AKT-V-000193	Она была женщина лет сорока пяти, замечательно толстая, очень неприятной наружности и с большими притязаниями на щёгольство и на светское обращение.
